STATE ABBREVIATION,Obama,Romney,Stein,Johnson
AK,0.40812659112464433,0.5480157739729447,0.009707316261501855,0.02459941097189637
AL,0.3835903309875247,0.6054582232982282,0.0016376308971826192,0.005943100883269747
AR,0.36878990301720105,0.6056693608410911,0.008700587581863132,0.015218781674627011
AZ,0.44589766941799386,0.536545331659747,0.0033993634457089123,0.013961049975339828
CA,0.6023895914168964,0.371203785207048,0.006568063143845706,0.010984429476689388
CO,0.5149214523168122,0.461269839293067,0.0029219442370993515,0.013833312188025634
CT,0.5805684558936727,0.40725355365115207,0.0005535741776568994,0.008069482218915174
DC,0.9091311392818725,0.07278291417600523,0.008367260794379161,0.007090725888808704
DE,0.5860635241990622,0.3997960963565511,0.004686884695388733,0.00937860123066962
FL,0.5000786506869869,0.49130977761975525,0.0010557954935811482,0.00527791541811897
GA,0.45482160485121986,0.5329900898706427,0.0003887129652183946,0.011621389469365778
HI,0.7054523035585707,0.27838931485609514,0.007324642222053522,0.00883373936328063
IA,0.5198801653414908,0.46177868510536096,0.002382156265405959,0.008169740484647765
ID,0.3262233355920978,0.6452978349589283,0.006748697633203225,0.014492375903378029
IL,0.5760213536247709,0.407327412708169,0.005765341336364229,0.010726602408921456
IN,0.43927302904058396,0.5412553238022445,0.00023813751317376723,0.01909329427624104
KS,0.3799457055391902,0.5971132036921613,0.0006155326296950527,0.017634923631711482
KY,0.37801327834445797,0.6049314159932162,0.0035260169640532113,0.009494149827621895
LA,0.4057746362330215,0.5778457572847425,0.0034993844232760717,0.009105520632476875
MA,0.6065124107928392,0.37512670597300873,0.00653173039557518,0.009760818898612177
MD,0.6197419077931849,0.3589773233894539,0.006319886736991874,0.011153067213528324
ME,0.5626994587621639,0.40982080260242854,0.011384222776858577,0.013113099077371772
MI,0.5420820421051875,0.4471091602742022,0.004628446524923794,0.0016432179424011315
MN,0.5265230315324626,0.4495820110666865,0.004434779321798525,0.011952075914649824
MO,0.4438348354545333,0.5376374113587709,0.0,0.015649599267115243
MS,0.4378935954398935,0.5528584674358112,0.0012352362817209923,0.005192970665471879
MT,0.41698137374805805,0.553515353849205,0.0,0.029263626747760552
NC,0.48350968577067555,0.5039306410214295,0.0,0.009880427187810462
ND,0.38690810130584236,0.583221491071733,0.004218493802440589,0.016213770081239327
NE,0.38027314417928976,0.5980319217904804,0.0,0.013984508653929674
NH,0.5197968415071198,0.4640379649268888,0.00045571414908041383,0.011550384543976415
NJ,0.5837721259723121,0.40589271410095673,0.0027162656182526017,0.005781129645643811
NM,0.5299276052046678,0.4284332663909013,0.0034334577765075445,0.03545482151378359
NV,0.5235624947040056,0.4567531564126363,0.0,0.010806784390463071
NY,0.6334755369848354,0.3516982177635045,0.005646250846789346,0.006673483818115085
OH,0.506680975127969,0.47688764805772316,0.00332798946109793,0.0088683671134507
OK,0.3322768025698344,0.6677231974301656,0.0,0.0
OR,0.54239326652769,0.42149871176513326,0.010857500544914965,0.013463032409865476
PA,0.5197159378275084,0.46586509132431997,0.003709110880533642,0.008688541400532181
RI,0.627009588632639,0.35243661570813967,0.005427654809224996,0.00983748422258541
SC,0.4408803340736147,0.5456113125586141,0.0027727458329896678,0.008309582214510534
SD,0.3986614075835246,0.5788931187554114,0.0,0.01592842516113959
TN,0.39075814993795194,0.5947871471993759,0.0026499068363528984,0.007574706832448201
TX,0.41383358283760857,0.5716697746805639,0.0030844958206001087,0.011081017146804463
UT,0.2474966582796037,0.727905331026891,0.003751572574304136,0.012356502594747602
VA,0.5115645679621864,0.4728310289638912,0.0022381695731911546,0.008098609180101435
VT,0.665705503023823,0.3097263523672692,0.0019846971165090716,0.011650907146914365
WA,0.5616339829967276,0.4129462143210913,0.0066958543805246875,0.013502410481981215
WI,0.5282776165301258,0.4588549077477306,0.002498016903736564,0.00666105251082474
WV,0.3553930415638732,0.6229584241943327,0.0065718231961792144,0.009399825188906356
WY,0.27818887742360304,0.6864262168705658,0.0,0.02138431950405724
